Date,Venue,Group,Participants,Volunteers,"CO2 (kg)","Weight (kg)",Fixed,Repairable,Dead,"Hours Volunteered"
22/10/2018,"Mundo B",,0,3,199.2,9.15,1,1,0,18
21/10/2018,"The Oasis",,0,2,0,0,0,0,0,15
21/10/2018,"Chiesa della Salute",,1,2,3,0.69,1,0,0,15
20/10/2018,"Kentish Town Community Centre",,16,4,57.15,4.42,5,10,1,21
20/10/2018,Portsmouth,,47,12,271.26,34.9,8,6,4,45
20/10/2018,"The Goodlife Centre",,5,6,5.7,1.24,3,5,0,27
20/10/2018,"Bedpop Repair Shop",,23,7,271.4,25.98,9,3,3,30
20/10/2018,"Norsk teknisk museet",,40,13,116.18,21.63,10,7,3,48
20/10/2018,"Kinning Park Complex",,20,8,8.55,1.4,1,1,1,33
16/10/2018,"Réparothon à la maire de Verdun",,45,7,984.65,20.47,16,19,7,30
14/10/2018,"Cafe Berghof",,0,1,0,0,0,1,0,12
14/10/2018,"STPLN, Malmö",,5,4,54.77,18.5,1,1,1,21
13/10/2018,Tooting,,27,5,156.84,13.63,8,8,0,24
13/10/2018,"Chesterfield Monkey Park",,0,1,32.75,9.06,11,7,5,12
11/10/2018,"VMA, Hringteigur",,3,5,53.88,0.51,1,1,0,24
11/10/2018,"LEGO LOVE m/ fiksefest for elektronikk (Lego Love with Repair party)",,31,14,555.58,30.29,19,6,6,51
10/10/2018,"Contamination Lab, Piazza di Fiera",,0,1,113.06,12.09,6,3,0,12
07/10/2018,Soham,,0,1,0,0,0,0,0,12
07/10/2018,"Fixa Grejen ",,10,8,79.79,1.15,4,2,1,33
07/10/2018,"Repair Café Haacht - Don Bosco",,0,1,0,0,0,0,0,12
06/10/2018,Scrapstore,,12,5,79.99,5,1,0,0,24
06/10/2018,"Chiesa Metodista di Milano",,16,9,302.27,19.91,11,3,3,36
06/10/2018,"TTF Café Collective",,3,1,2.31,0.7,1,1,0,12
06/10/2018,"Fixit Clinic Berkeley Public Library",,50,19,226.4,42.05,16,17,4,66
06/10/2018,"The Wantage Mix",,10,5,317.54,34.38,5,4,2,24
06/10/2018,Southampton,,25,6,153.58,31.95,10,6,6,27
03/10/2018,"Fixa Grejen, Malmö",,15,11,38.14,11.59,4,0,1,42
30/09/2018,"The Goodlife Centre (Bankside)",,9,5,198.03,16.51,5,4,0,24
30/09/2018,STPLN,,4,5,146.31,8.14,4,3,0,24
29/09/2018,"GIRO GIRO Tondo…si Rialza IL Mondo! - 40° Restart Party",,10,8,39.11,5.68,3,4,3,33
29/09/2018,"Leicester Hackspace",,4,4,0,0,1,2,0,21
28/09/2018,"Réparothon à Insertech",,0,8,0,0,0,0,0,33
24/09/2018,"Lush Showcase #2",,40,5,250.74,1.96,14,6,0,24
23/09/2018,"Lush Showcase #1",,40,1,322.38,2.52,18,0,0,12
22/09/2018,"Chesterton, Cambridge",,0,1,0,0,0,0,0,12
22/09/2018,"The BIG FIX - Hackney's fourth festival of repair",,27,8,355.04,40.12,10,14,3,33
22/09/2018,"La Mercè - Plaça Catalunya",,0,2,0,0,0,0,0,15
16/09/2018,"RISC main hall",,0,2,691.35,53.3,21,5,1,15
16/09/2018,"STPLN, Malmö",,4,5,239.98,15,1,3,0,24
15/09/2018,Leytonstone,,40,10,313.01,33.92,18,14,7,39
15/09/2018,"Maakbaar Leuven @Fablab KULeuven",,24,12,573.79,38.16,11,18,1,45
15/09/2018,Portsmouth,,40,7,495.52,46.78,11,4,8,30
15/09/2018,Southampton,,16,6,51.61,6.73,4,1,7,27
13/09/2018,"VMA, Hringteigur",,4,4,8.26,0.26,2,2,0,21
09/09/2018,"Upper Norwood Library",,28,7,419.17,43.2,9,11,8,30
01/09/2018,"Sherwood Methodist Church",,16,7,55.41,8.92,5,9,3,30
01/09/2018,"Kingsgate Community Centre",,15,8,60.84,11.93,5,8,2,33
01/09/2018,"TTF Café Collective",,2,2,129.13,2.26,1,1,0,15
01/09/2018,"All Saints Church Hall, Marlow",,0,2,0,0,0,0,0,15
01/09/2018,Southampton,,14,7,154.95,9.21,6,2,6,30
31/08/2018,"Forskningsparken Fiksefest",,0,1,0,0,0,0,0,12
25/08/2018,"Kinning Park Complex",,20,8,0,0,0,0,2,33
18/08/2018,"Abbey Community Centre",,10,7,41.91,10.48,6,3,1,30
16/08/2018,"Brixton: Angell Delight Community Centre",,24,6,436.56,32.96,9,13,2,27
04/08/2018,Tooting,,15,3,67.19,2.71,5,2,0,18
04/08/2018,"TTF Café Collective",,3,2,32,2,1,0,1,15
04/08/2018,"The Wantage Mix",,8,3,96.49,8.04,4,1,1,18
04/08/2018,Southampton,,22,8,195.02,34.53,10,3,6,33
21/07/2018,"Leytonstone ",,45,7,203.24,36.39,9,11,11,30
21/07/2018,Portsmouth,,51,8,613.82,35.9,15,3,11,33
21/07/2018,"Kingsgate Community Centre",,14,3,174.14,18.42,5,5,4,18
21/07/2018,"Kinning Park Glasgow",,23,1,18.83,1.61,4,5,3,12
